"","y","x","cat"
"1",-2.08586693401645,1990,"Jan"
"2",-2.79748191087094,1990.08333333333,"Feb"
"3",-3.0519848423395,1990.16666666667,"Mar"
"4",-2.75297398571215,1990.25,"Apr"
"5",-1.6065298146769,1990.33333333333,"May"
"6",-0.643128543527349,1990.41666666667,"Jun"
"7",-0.132259846402514,1990.5,"Jul"
"8",2.98594850475383,1990.58333333333,"Aug"
"9",4.99021211252399,1990.66666666667,"Sep"
"10",5.55452256873204,1990.75,"Oct"
"11",1.14952521086923,1990.83333333333,"Nov"
"12",-1.56077687769102,1990.91666666667,"Dec"
"13",-2.01729801656875,1991,"Jan"
"14",-2.73224132539014,1991.08333333333,"Feb"
"15",-3.0031219351327,1991.16666666667,"Mar"
"16",-2.72447649348217,1991.25,"Apr"
"17",-1.67390614418581,1991.33333333333,"May"
"18",-0.60106599415881,1991.41666666667,"Jun"
"19",0.00291079326779513,1991.5,"Jul"
"20",2.49704959150384,1991.58333333333,"Aug"
"21",4.44211746040677,1991.66666666667,"Sep"
"22",5.61220172421087,1991.75,"Oct"
"23",1.5253199381281,1991.83333333333,"Nov"
"24",-1.27234071492499,1991.91666666667,"Dec"
"25",-1.95185924589349,1992,"Jan"
"26",-2.66924944058352,1992.08333333333,"Feb"
"27",-2.95562628250183,1992.16666666667,"Mar"
"28",-2.69658788196503,1992.25,"Apr"
"29",-1.74113298054449,1992.33333333333,"May"
"30",-0.558182496024271,1992.41666666667,"Jun"
"31",0.139573837319878,1992.5,"Jul"
"32",2.00981443380689,1992.58333333333,"Aug"
"33",3.89585791501386,1992.66666666667,"Sep"
"34",5.67154605552882,1992.75,"Oct"
"35",1.90260991034089,1992.83333333333,"Nov"
"36",-0.982792868194159,1992.91666666667,"Dec"
"37",-1.89594898804532,1993,"Jan"
"38",-2.61837854527692,1993.08333333333,"Feb"
"39",-2.91629718653129,1993.16666666667,"Mar"
"40",-2.67577577591322,1993.25,"Apr"
"41",-1.80827107459642,1993.33333333333,"May"
"42",-0.515001083036169,1993.41666666667,"Jun"
"43",0.267487178549418,1993.5,"Jul"
"44",1.55103695883728,1993.58333333333,"Aug"
"45",3.38431978256873,1993.66666666667,"Sep"
"46",5.74335156543621,1993.75,"Oct"
"47",2.25597050620358,1993.83333333333,"Nov"
"48",-0.699901590239157,1993.91666666667,"Dec"
"49",-1.84339003848379,1994,"Jan"
"50",-2.57188089759627,1994.08333333333,"Feb"
"51",-2.88236327752604,1994.16666666667,"Mar"
"52",-2.66277987626472,1994.25,"Apr"
"53",-1.88564639448969,1994.33333333333,"May"
"54",-0.486668824291631,1994.41666666667,"Jun"
"55",0.375939437133175,1994.5,"Jul"
"56",1.06563959253091,1994.58333333333,"Aug"
"57",2.83900295009586,1994.66666666667,"Sep"
"58",5.77223764059666,1994.75,"Oct"
"59",2.55727093260013,1994.83333333333,"Nov"
"60",-0.478819051083016,1994.91666666667,"Dec"
"61",-1.78793146302804,1995,"Jan"
"62",-2.51653698655357,1995.08333333333,"Feb"
"63",-2.83663399904708,1995.16666666667,"Mar"
"64",-2.62395667878199,1995.25,"Apr"
"65",-1.89673852061761,1995.33333333333,"May"
"66",-0.403207924414319,1995.41666666667,"Jun"
"67",0.459316678237392,1995.5,"Jul"
"68",0.950853689537867,1995.58333333333,"Aug"
"69",2.56350699646623,1995.66666666667,"Sep"
"70",5.74629280009061,1995.75,"Oct"
"71",2.73861793253846,1995.83333333333,"Nov"
"72",-0.342655426156821,1995.91666666667,"Dec"
"73",-1.79138002350451,1996,"Jan"
"74",-2.5092442807694,1996.08333333333,"Feb"
"75",-2.82809999515298,1996.16666666667,"Mar"
"76",-2.61226341422951,1996.25,"Apr"
"77",-1.92489523802119,1996.33333333333,"May"
"78",-0.328717447887023,1996.41666666667,"Jun"
"79",0.541817663917243,1996.5,"Jul"
"80",0.840347302702869,1996.58333333333,"Aug"
"81",2.29744633057705,1996.66666666667,"Sep"
"82",5.73197317963491,1996.75,"Oct"
"83",2.93378008483703,1996.83333333333,"Nov"
"84",-0.193038743067418,1996.91666666667,"Dec"
"85",-1.87798400852355,1997,"Jan"
"86",-2.58924185646032,1997.08333333333,"Feb"
"87",-2.88790027010614,1997.16666666667,"Mar"
"88",-2.66408383677548,1997.25,"Apr"
"89",-1.8941856426857,1997.33333333333,"May"
"90",-0.325423984861843,1997.41666666667,"Jun"
"91",0.503398268591915,1997.5,"Jul"
"92",0.808449565070725,1997.58333333333,"Aug"
"93",2.42082007281249,1997.66666666667,"Sep"
"94",5.87162551806981,1997.75,"Oct"
"95",2.97948975388882,1997.83333333333,"Nov"
"96",-0.127790840239641,1997.91666666667,"Dec"
"97",-1.97729583584855,1998,"Jan"
"98",-2.68101141715102,1998.08333333333,"Feb"
"99",-2.95853667275288,1998.16666666667,"Mar"
"100",-2.72525240410269,1998.25,"Apr"
"101",-1.8713362092191,1998.33333333333,"May"
"102",-0.327895489049341,1998.41666666667,"Jun"
"103",0.461309100710126,1998.5,"Jul"
